iter	Passed	Remaining
183	1325	5878
184	1331	5864
185	1336	5850
186	1342	5836
187	1347	5821
188	1353	5806
189	1358	5791
190	1363	5776
191	1369	5761
192	1374	5749
193	1380	5735
194	1385	5721
195	1391	5706
196	1396	5691
197	1401	5677
198	1414	5695
199	1427	5711
200	1442	5734
201	1448	5724
202	1454	5712
203	1460	5700
204	1467	5690
205	1473	5678
206	1478	5664
207	1483	5650
208	1489	5638
209	1496	5631
210	1502	5617
211	1508	5606
212	1513	5592
213	1518	5578
214	1524	5564
215	1529	5553
216	1535	5538
217	1540	5525
218	1546	5513
219	1551	5500
220	1557	5488
221	1563	5479
222	1568	5466
223	1573	5451
224	1579	5440
225	1584	5428
226	1590	5415
227	1596	5404
228	1606	5408
229	1618	5419
230	1631	5432
231	1644	5443
232	1655	5450
233	1661	5440
234	1667	5429
235	1673	5416
236	1679	5405
237	1684	5393
238	1690	5383
239	1696	5372
240	1701	5359
241	1707	5347
242	1712	5334
243	1717	5321
244	1723	5310
245	1728	5298
246	1736	5292
247	1741	5280
248	1746	5268
249	1753	5261
250	1759	5249
251	1766	5242
252	1771	5231
253	1776	5219
254	1783	5209
255	1789	5200
256	1794	5187
257	1806	5195
258	1818	5203
259	1832	5215
260	1848	5234
261	1855	5227
262	1862	5218
263	1868	5209
264	1874	5198
265	1880	5189
266	1886	5179
267	1892	5167
268	1897	5155
269	1902	5144
270	1908	5133
271	1913	5121
272	1918	5109
273	1924	5100
274	1929	5087
275	1934	5075
276	1940	5066
277	1945	5053
278	1951	5042
279	1956	5031
280	1962	5021
281	1967	5009
282	1974	5001
283	1981	4994
284	1986	4984
285	1991	4972
286	1998	4964
287	2012	4975
288	2024	4980
289	2038	4989
290	2048	4991
291	2062	5001
292	2069	4992
293	2077	4988
294	2082	4977
295	2088	4966
296	2093	4954
297	2098	4943
298	2104	4933
299	2109	4921
300	2114	4910
301	2119	4897
302	2124	4886
303	2130	4878
304	2136	4868
305	2141	4856
306	2146	4844
307	2151	4834
308	2156	4823
309	2162	4813
310	2167	4802
311	2173	4791
312	2178	4780
313	2183	4770
314	2189	4762
315	2202	4767
316	2215	4774
317	2222	4766
318	2231	4762
319	2236	4752
320	2241	4741
321	2247	4732
322	2252	4721
323	2258	4712
324	2264	4702
325	2269	4691
326	2273	4678
327	2278	4667
328	2282	4655
329	2286	4642
330	2290	4629
331	2295	4619
332	2301	4610
333	2306	4599
334	2311	4588
335	2316	4578
336	2321	4567
337	2325	4554
338	2331	4545
339	2335	4534
340	2341	4524
341	2346	4514
342	2352	4505
343	2357	4495
344	2362	4486
345	2368	4476
346	2373	4466
347	2378	4456
348	2390	4459
349	2403	4463
350	2417	4469
351	2423	4461
352	2429	4453
353	2436	4446
354	2442	4437
355	2448	4429
356	2454	4420
357	2460	4412
358	2465	4402
359	2471	4393
360	2476	4383
361	2482	4374
362	2487	4364
363	2493	4355
364	2497	4345
365	2502	4335
366	2509	4327
367	2514	4318
368	2519	4308
369	2525	4300
370	2530	4290
371	2535	4281
372	2542	4273
373	2548	4265
374	2553	4255
375	2558	4246
376	2564	4237
377	2569	4227
378	2574	4218
379	2579	4209
380	2592	4211
381	2606	4217
382	2619	4219
383	2632	4222
384	2639	4215
385	2645	4208
386	2650	4198
387	2656	4190
388	2662	4181
389	2667	4172
390	2673	4163
391	2678	4154
392	2684	4146
393	2689	4136
394	2694	4126
395	2704	4124
396	2709	4115
397	2715	4107
398	2720	4098
399	2725	4088
400	2732	4081
401	2738	4072
402	2743	4063
403	2748	4054
404	2753	4045
405	2759	4036
406	2764	4028
407	2769	4018
408	2775	4010
409	2779	3999
410	2786	3992
411	2796	3990
412	2805	3987
413	2818	3988
414	2831	3991
415	2844	3993
416	2849	3984
417	2854	3974
418	2861	3968
419	2867	3959
420	2872	3950
421	2878	3942
422	2883	3933
423	2889	3925
424	2893	3915
425	2899	3906
426	2904	3897
427	2910	3889
428	2915	3880
429	2921	3872
430	2926	3864
431	2931	3854
432	2937	3846
433	2944	3840
434	2949	3831
435	2955	3823
436	2960	3814
437	2967	3807
438	2972	3798
439	2977	3789
440	2990	3790
441	3004	3793
442	3017	3793
443	3031	3796
444	3045	3798
445	3054	3794
446	3058	3783
447	3064	3775
448	3068	3765
449	3072	3754
450	3078	3747
451	3083	3738
452	3089	3730
453	3094	3721
454	3100	3713
455	3105	3705
456	3111	3697
457	3116	3688
458	3122	3679
459	3126	3670
460	3132	3662
461	3137	3653
462	3143	3645
463	3147	3635
464	3152	3627
465	3158	3618
466	3163	3610
467	3169	3602
468	3185	3606
469	3197	3606
470	3203	3598
471	3210	3591
472	3215	3582
473	3220	3573
474	3225	3565
475	3231	3557
476	3237	3549
477	3242	3540
478	3247	3532
479	3253	3524
480	3258	3515
481	3262	3506
482	3269	3499
483	3274	3491
484	3280	3482
485	3285	3474
486	3290	3466
487	3295	3457
488	3301	3449
489	3306	3441
490	3311	3432
491	3317	3424
492	3322	3416
493	3326	3407
494	3332	3399
495	3337	3391
496	3343	3383
497	3348	3375
498	3353	3367
499	3360	3360
500	3372	3359
501	3385	3358
502	3397	3356
503	3402	3348
504	3407	3340
505	3413	3332
506	3419	3325
507	3426	3318
508	3431	3310
509	3437	3302
510	3442	3294
511	3448	3286
512	3454	3279
513	3459	3271
514	3464	3263
515	3469	3254
516	3475	3246
517	3480	3238
518	3486	3230
519	3491	3222
520	3497	3215
521	3502	3206
522	3507	3199
523	3513	3191
524	3518	3183
525	3522	3174
526	3528	3166
527	3533	3159
528	3539	3151
529	3544	3143
530	3553	3138
531	3564	3135
532	3576	3133
533	3589	3132
534	3600	3129
535	3606	3122
536	3612	3115
537	3618	3107
538	3623	3099
539	3628	3091
540	3632	3082
541	3638	3074
542	3646	3068
543	3651	3060
544	3656	3052
545	3663	3046
546	3667	3037
547	3672	3028
548	3676	3020
549	3680	3011
550	3684	3002
551	3690	2995
552	3695	2987
553	3700	2979
554	3706	2972
555	3712	2964
556	3717	2956
557	3722	2948
558	3727	2940
559	3732	2932
560	3738	2925
561	3746	2920
562	3759	2918
563	3772	2916
564	3784	2913
565	3798	2912
566	3804	2905
567	3810	2898
568	3817	2891
569	3822	2883
570	3827	2875
571	3833	2868
572	3839	2861
573	3844	2853
574	3850	2845
575	3854	2837
576	3859	2829
577	3865	2822
578	3871	2814
579	3876	2806
580	3881	2799
581	3886	2791
582	3892	2783
583	3897	2776
584	3903	2769
585	3911	2763
586	3916	2755
587	3921	2747
588	3927	2740
589	3932	2732
590	3938	2725
591	3951	2723
592	3964	2721
593	3977	2718
594	3990	2716
595	4004	2714
596	4010	2707
597	4015	2699
598	4022	2692
599	4027	2684
600	4032	2677
601	4038	2669
602	4042	2661
603	4047	2653
604	4053	2646
605	4058	2638
606	4063	2630
607	4067	2622
608	4071	2613
609	4076	2606
610	4082	2599
611	4087	2591
612	4093	2584
613	4098	2576
614	4103	2568
615	4109	2561
616	4117	2555
617	4121	2547
618	4127	2540
619	4141	2538
620	4155	2536
621	4163	2530
622	4169	2522
623	4174	2515
624	4179	2507
625	4185	2500
626	4189	2492
627	4194	2484
628	4199	2476
629	4204	2469
630	4210	2462
631	4215	2454
632	4220	2446
633	4226	2439
634	4230	2431
635	4235	2424
636	4241	2416
637	4246	2409
638	4250	2401
639	4255	2393
640	4260	2386
641	4265	2378
642	4271	2371
643	4276	2364
644	4282	2356
645	4288	2350
646	4293	2342
647	4298	2335
648	4304	2327
649	4307	2319
650	4312	2312
651	4318	2304
652	4323	2297
653	4328	2290
654	4340	2286
655	4352	2282
656	4366	2279
657	4373	2272
658	4381	2267
659	4387	2260
660	4392	2252
661	4399	2246
662	4404	2238
663	4409	2231
664	4415	2224
665	4420	2216
666	4425	2209
667	4430	2201
668	4439	2196
669	4452	2192
670	4463	2188
671	4476	2185
672	4481	2177
673	4486	2170
674	4493	2163
675	4498	2155
676	4503	2148
677	4508	2141
678	4513	2133
679	4518	2126
680	4523	2119
681	4529	2112
682	4543	2108
683	4555	2104
684	4569	2101
685	4580	2096
686	4589	2090
687	4594	2083
688	4600	2076
689	4605	2069
690	4610	2061
691	4617	2055
692	4623	2048
693	4628	2040
694	4633	2033
695	4638	2026
696	4643	2018
697	4649	2011
698	4654	2004
699	4659	1997
700	4664	1989
701	4670	1982
702	4674	1974
703	4681	1968
704	4686	1960
705	4690	1953
706	4695	1946
707	4701	1938
708	4706	1931
709	4711	1924
710	4717	1917
711	4722	1910
712	4727	1902
713	4733	1896
714	4746	1891
715	4758	1887
716	4770	1882
717	4783	1878
718	4793	1873
719	4798	1866
720	4805	1859
721	4810	1852
722	4815	1845
723	4821	1837
724	4826	1830
725	4831	1823
726	4836	1816
727	4842	1809
728	4847	1801
729	4852	1794
730	4859	1788
731	4865	1781
732	4870	1773
733	4875	1766
734	4880	1759
735	4885	1752
736	4890	1745
737	4896	1738
738	4901	1731
739	4907	1724
740	4912	1717
741	4917	1709
742	4924	1703
743	4937	1698
744	4949	1694
745	4962	1689
746	4975	1685
747	4989	1680
748	4994	1673
749	5000	1666
750	5007	1660
751	5012	1653
752	5018	1646
753	5024	1639
754	5029	1632
755	5034	1624
756	5040	1618
757	5052	1613
758	5066	1608
759	5071	1601
760	5076	1594
761	5081	1587
762	5087	1580
763	5092	1573
764	5100	1566
765	5105	1559
766	5111	1552
767	5121	1547
768	5132	1541
769	5144	1536
770	5152	1530
771	5156	1522
772	5162	1515
773	5167	1508
774	5172	1501
775	5177	1494
776	5182	1487
777	5188	1480
778	5193	1473
779	5198	1466
780	5203	1459
781	5208	1452
782	5213	1444
783	5218	1437
784	5224	1430
785	5229	1423
786	5235	1416
787	5241	1410
788	5246	1402
789	5250	1395
790	5255	1388
791	5260	1381
792	5265	1374
793	5270	1367
794	5275	1360
795	5281	1353
796	5286	1346
797	5291	1339
798	5296	1332
799	5302	1325
800	5306	1318
801	5319	1313
802	5331	1307
803	5346	1303
804	5353	1296
805	5358	1289
806	5364	1282
807	5369	1275
808	5376	1269
809	5381	1262
810	5386	1255
811	5391	1248
812	5397	1241
813	5402	1234
814	5407	1227
815	5412	1220
816	5417	1213
817	5422	1206
818	5427	1199
819	5432	1192
820	5437	1185
821	5443	1178
822	5448	1171
823	5453	1164
824	5459	1158
825	5463	1150
826	5468	1143
827	5473	1136
828	5478	1130
829	5483	1123
830	5489	1116
831	5494	1109
832	5499	1102
833	5504	1095
834	5514	1089
835	5528	1084
836	5541	1079
837	5554	1073
838	5561	1067
839	5568	1060
840	5573	1053
841	5580	1047
842	5586	1040
843	5591	1033
844	5596	1026
845	5601	1019
846	5607	1012
847	5611	1005
848	5618	999
849	5623	992
850	5628	985
851	5633	978
852	5637	971
853	5643	964
854	5648	957
855	5653	951
856	5659	944
857	5664	937
858	5669	930
859	5674	923
860	5679	916
861	5684	910
862	5690	903
863	5695	896
864	5700	889
865	5712	883
866	5724	878
867	5737	872
868	5749	866
869	5761	860
870	5767	854
871	5772	847
872	5778	840
873	5783	833
874	5788	826
875	5793	820
876	5798	813
877	5805	806
878	5810	799
879	5817	793
880	5823	786
881	5828	779
882	5833	773
883	5838	766
884	5844	759
885	5849	752
886	5854	745
887	5860	739
888	5866	732
889	5871	725
890	5876	718
891	5881	712
892	5886	705
893	5891	698
894	5898	691
895	5905	685
896	5918	679
897	5931	673
898	5943	667
899	5952	661
900	5965	655
901	5973	649
902	5979	642
903	5984	635
904	5990	628
905	5996	622
906	6002	615
907	6007	608
908	6012	601
909	6017	595
910	6024	588
911	6029	581
912	6035	575
913	6040	568
914	6046	561
915	6055	555
916	6061	548
917	6068	542
918	6080	535
919	6099	530
920	6119	524
921	6139	519
922	6167	514
923	6193	509
924	6218	504
925	6243	498
926	6258	492
927	6269	486
928	6277	479
929	6285	473
930	6305	467
931	6319	461
932	6342	455
933	6370	450
934	6395	444
935	6412	438
936	6432	432
937	6449	426
938	6469	420
939	6486	414
940	6508	408
941	6523	401
942	6537	395
943	6562	389
944	6582	383
945	6598	376
946	6613	370
947	6617	363
948	6624	355
949	6630	348
950	6635	341
951	6640	334
952	6645	327
953	6651	320
954	6655	313
955	6661	306
956	6666	299
957	6671	292
958	6676	285
959	6682	278
960	6688	271
961	6694	264
962	6700	257
963	6723	251
964	6738	244
965	6750	237
966	6758	230
967	6764	223
968	6769	216
969	6776	209
970	6791	202
971	6805	196
972	6818	189
973	6823	182
974	6830	175
975	6836	168
976	6842	161
977	6856	154
978	6866	147
979	6879	140
980	6884	133
981	6891	126
982	6899	119
983	6904	112
984	6917	105
985	6929	98
986	6941	91
987	6955	84
988	6969	77
989	6977	70
990	6982	63
991	6988	56
992	6993	49
993	6998	42
994	7004	35
995	7009	28
996	7021	21
997	7050	14
998	7069	7
999	7102	0
